ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,4
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,4
Basic Problems B,Basic Problem B-07,4
Basic Problems B,Basic Problem B-08,4
Basic Problems B,Basic Problem B-09,4
Basic Problems B,Basic Problem B-10,4
Basic Problems B,Basic Problem B-11,4
Basic Problems B,Basic Problem B-12,4
Basic Problems C,Basic Problem C-01,4
Basic Problems C,Basic Problem C-02,4
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,4
Basic Problems C,Basic Problem C-05,4
Basic Problems C,Basic Problem C-06,4
Basic Problems C,Basic Problem C-07,4
Basic Problems C,Basic Problem C-08,4
Basic Problems C,Basic Problem C-09,4
Basic Problems C,Basic Problem C-10,4
Basic Problems C,Basic Problem C-11,4
Basic Problems C,Basic Problem C-12,4
Basic Problems D,Basic Problem D-01,4
Basic Problems D,Basic Problem D-02,4
Basic Problems D,Basic Problem D-03,4
Basic Problems D,Basic Problem D-04,4
Basic Problems D,Basic Problem D-05,4
Basic Problems D,Basic Problem D-06,4
Basic Problems D,Basic Problem D-07,4
Basic Problems D,Basic Problem D-08,4
Basic Problems D,Basic Problem D-09,4
Basic Problems D,Basic Problem D-10,4
Basic Problems D,Basic Problem D-11,4
Basic Problems D,Basic Problem D-12,4
Basic Problems E,Basic Problem E-01,4
Basic Problems E,Basic Problem E-02,4
Basic Problems E,Basic Problem E-03,4
Basic Problems E,Basic Problem E-04,4
Basic Problems E,Basic Problem E-05,4
Basic Problems E,Basic Problem E-06,4
Basic Problems E,Basic Problem E-07,4
Basic Problems E,Basic Problem E-08,4
Basic Problems E,Basic Problem E-09,4
Basic Problems E,Basic Problem E-10,4
Basic Problems E,Basic Problem E-11,4
Basic Problems E,Basic Problem E-12,4
Challenge Problems B,Challenge Problem B-01,4
Challenge Problems B,Challenge Problem B-02,4
Challenge Problems B,Challenge Problem B-03,4
Challenge Problems B,Challenge Problem B-04,4
Challenge Problems B,Challenge Problem B-05,4
Challenge Problems B,Challenge Problem B-06,4
Challenge Problems B,Challenge Problem B-07,4
Challenge Problems B,Challenge Problem B-08,4
Challenge Problems B,Challenge Problem B-09,4
Challenge Problems B,Challenge Problem B-10,4
Challenge Problems B,Challenge Problem B-11,4
Challenge Problems B,Challenge Problem B-12,4
Challenge Problems C,Challenge Problem C-01,4
Challenge Problems C,Challenge Problem C-02,4
Challenge Problems C,Challenge Problem C-03,4
Challenge Problems C,Challenge Problem C-04,4
Challenge Problems C,Challenge Problem C-05,4
Challenge Problems C,Challenge Problem C-06,4
Challenge Problems C,Challenge Problem C-07,4
Challenge Problems C,Challenge Problem C-08,4
Challenge Problems C,Challenge Problem C-09,4
Challenge Problems C,Challenge Problem C-10,4
Challenge Problems C,Challenge Problem C-11,4
Challenge Problems C,Challenge Problem C-12,4
Challenge Problems D,Challenge Problem D-01,4
Challenge Problems D,Challenge Problem D-02,4
Challenge Problems D,Challenge Problem D-03,4
Challenge Problems D,Challenge Problem D-04,4
Challenge Problems D,Challenge Problem D-05,4
Challenge Problems D,Challenge Problem D-06,4
Challenge Problems D,Challenge Problem D-07,4
Challenge Problems D,Challenge Problem D-08,4
Challenge Problems D,Challenge Problem D-09,4
Challenge Problems D,Challenge Problem D-10,4
Challenge Problems D,Challenge Problem D-11,4
Challenge Problems D,Challenge Problem D-12,4
Challenge Problems E,Challenge Problem E-01,4
Challenge Problems E,Challenge Problem E-02,4
Challenge Problems E,Challenge Problem E-03,4
Challenge Problems E,Challenge Problem E-04,4
Challenge Problems E,Challenge Problem E-05,4
Challenge Problems E,Challenge Problem E-06,4
Challenge Problems E,Challenge Problem E-07,4
Challenge Problems E,Challenge Problem E-08,4
Challenge Problems E,Challenge Problem E-09,4
Challenge Problems E,Challenge Problem E-10,4
Challenge Problems E,Challenge Problem E-11,4
Challenge Problems E,Challenge Problem E-12,4
